alpha_1,alpha_2,Im(lambda_6),Re(lambda_6),Re(lambda_5)
0.20001,0.90001,3.781358872,-0.699848573,-0.699848573
0.20001,0.95001,3.749305857,-0.69997842,-0.69997842
0.20001,1.00001,3.719442971,-0.700093151,-0.700093151
0.20001,1.05001,3.691529176,-0.700195156,-0.700195156
0.20001,1.10001,3.665359607,-0.700286358,-0.700286358
0.20001,1.15001,3.640758807,-0.700368318,-0.700368318
0.20001,1.20001,3.617575456,-0.700442316,-0.700442316
0.20001,1.25001,3.595678221,-0.700509412,-0.700509412
0.20001,1.30001,3.574952448,-0.700570489,-0.700570489
0.20001,1.35001,3.555297511,-0.700626287,-0.700626287
0.20001,1.40001,3.536624653,-0.700677435,-0.700677435
0.20001,1.45001,3.518855229,-0.700724465,-0.700724465
0.20001,1.50001,3.501919259,-0.700767834,-0.700767834
0.20001,1.55001,3.485754222,-0.700807936,-0.700807936
0.20001,1.60001,3.470304056,-0.700845109,-0.700845109
0.20001,1.65001,3.455518318,-0.700879649,-0.700879649
0.20001,1.70001,3.441351471,-0.700911815,-0.700911815
0.20001,1.75001,3.427762284,-0.70094183,-0.70094183
0.20001,1.80001,3.414713314,-0.700969895,-0.700969895
0.20001,1.85001,3.402170469,-0.700996184,-0.700996184
0.20001,1.90001,3.390102626,-0.701020853,-0.701020853
0.20001,1.95001,3.378481308,-0.70104404,-0.70104404
0.20001,2.00001,3.367280392,-0.701065869,-0.701065869
0.20001,2.05001,3.35647587,-0.701086449,-0.701086449
0.20001,2.10001,3.346045627,-0.701105879,-0.701105879
0.20001,2.15001,3.335969255,-0.701124249,-0.701124249
0.20001,2.20001,3.326227881,-0.701141637,-0.701141637
0.20001,2.25001,3.316804027,-0.701158118,-0.701158118
0.20001,2.30001,3.307681474,-0.701173756,-0.701173756
0.20001,2.35001,3.298845149,-0.701188611,-0.701188611
0.20001,2.40001,3.29028102,-0.701202738,-0.701202738
0.20001,2.45001,3.28197601,-0.701216185,-0.701216185
0.20001,2.50001,3.273917907,-0.701228998,-0.701228998
0.20001,2.55001,3.266095298,-0.701241218,-0.701241218
0.20001,2.60001,3.258497497,-0.701252883,-0.701252883
0.20001,2.65001,3.25111449,-0.701264028,-0.701264028
0.20001,2.70001,3.24393688,-0.701274684,-0.701274684
0.20001,2.75001,3.236955838,-0.701284882,-0.701284882
0.20001,2.80001,3.230163059,-0.701294648,-0.701294648
