alpha_1,alpha_2,imaginary,real
1080.036,13680.036,1.575428117,-0.696809806
2160.036,27360.036,1.575432304,-0.696805793
1800.036,22680.036,1.575792066,-0.696802674
2520.036,31680.036,1.575949211,-0.696799583
720.036,9000.036,1.576332243,-0.696804129
1440.036,18000.036,1.576338712,-0.696797947
2160.036,27000.036,1.576340868,-0.696795886
2520.036,31320.036,1.57673816,-0.696790961
1800.036,22320.036,1.576896574,-0.696790649
2880.036,35640.036,1.577039073,-0.696787225
1080.036,13320.036,1.577268959,-0.696789938
2160.036,26640.036,1.577273402,-0.696785704
2520.036,30960.036,1.577545017,-0.696782133
1440.036,17640.036,1.577746701,-0.696782652
2880.036,35280.036,1.577750084,-0.696779433
1800.036,21960.036,1.578036422,-0.696778217
2160.036,26280.036,1.578230868,-0.696775234
2520.036,30600.036,1.5783704,-0.696773091
2880.036,34920.036,1.578475401,-0.696771475
360.036,4320.036,1.579190688,-0.696786825
720.036,8640.036,1.57920484,-0.69677341
1080.036,12960.036,1.579209559,-0.696768938
1440.036,17280.036,1.579211919,-0.696766701
1800.036,21600.036,1.579213335,-0.69676536
2160.036,25920.036,1.579214279,-0.696764465
2520.036,30240.036,1.579214954,-0.696763826
2880.036,34560.036,1.57921546,-0.696763347
2880.036,34200.036,1.579970714,-0.696755041
2520.036,29880.036,1.580079356,-0.696754331
2160.036,25560.036,1.580224706,-0.696753382
1800.036,21240.036,1.580429152,-0.696752052
1440.036,16920.036,1.580737928,-0.696750052
2880.036,33840.036,1.580741637,-0.696746553
2520.036,29520.036,1.580964314,-0.696744597
1080.036,12600.036,1.581258255,-0.696746706
2160.036,25200.036,1.581263277,-0.696741973
2880.036,33480.036,1.581528722,-0.696737877
1800.036,20880.036,1.581685834,-0.696738272
2520.036,29160.036,1.58187057,-0.696734614
720.036,8280.036,1.582320822,-0.696739964
1440.036,16560.036,1.582328595,-0.696732658
2160.036,24840.036,1.582331186,-0.696730223
2880.036,33120.036,1.582332482,-0.696729005
2520.036,28800.036,1.582798903,-0.696724374
1800.036,20520.036,1.582985479,-0.696723993
2880.036,32760.036,1.583153454,-0.696719932
1080.036,12240.036,1.583424344,-0.69672313
2160.036,24480.036,1.583429695,-0.696718115
2520.036,28440.036,1.583750131,-0.696713866
1440.036,16200.036,1.583988119,-0.696714468
2880.036,32400.036,1.583992197,-0.69671065
1800.036,20160.036,1.584330329,-0.696709188
2160.036,24120.036,1.584560137,-0.696705634
2520.036,28080.036,1.584725111,-0.696703079
2880.036,32040.036,1.584849295,-0.696701152
360.036,3960.036,1.585695389,-0.696719378
720.036,7920.036,1.585712509,-0.69670341
1080.036,11880.036,1.585718218,-0.696698087
1440.036,15840.036,1.585721073,-0.696695425
1800.036,19800.036,1.585722786,-0.696693827
2160.036,23760.036,1.585723928,-0.696692762
2520.036,27720.036,1.585724744,-0.696692002
2880.036,31680.036,1.585725356,-0.696691431
3240.036,35640.036,1.585725832,-0.696690988
3240.036,35280.036,1.586520999,-0.696682144
2880.036,31320.036,1.586621018,-0.696681479
2520.036,27360.036,1.586749979,-0.696680623
2160.036,23400.036,1.586922566,-0.696679481
1800.036,19440.036,1.587165425,-0.696677879
3240.036,34920.036,1.587332118,-0.696673111
1440.036,15480.036,1.587532444,-0.696675468
2880.036,30960.036,1.587536947,-0.696671287
2520.036,27000.036,1.587801812,-0.696668931
1080.036,11520.036,1.588151536,-0.696671433
2160.036,23040.036,1.588157641,-0.69666577
3240.036,34560.036,1.588159676,-0.696663883
2880.036,30600.036,1.588473838,-0.696660846
1800.036,19080.036,1.58866101,-0.696661308
2520.036,26640.036,1.588881292,-0.696656911
3240.036,34200.036,1.589004178,-0.696654453
720.036,7560.036,1.58941821,-0.696663296
1440.036,15120.036,1.589427682,-0.696654531
2160.036,22680.036,1.589430841,-0.696651609
2880.036,30240.036,1.58943242,-0.696650148
3240.036,33840.036,1.58986615,-0.696644815
2520.036,26280.036,1.589989525,-0.69664455
1800.036,18720.036,1.590212513,-0.696644078
2880.036,29880.036,1.590413456,-0.696639182
1080.036,11160.036,1.590737422,-0.696643008
2160.036,22320.036,1.59074396,-0.696636974
3240.036,33480.036,1.590746139,-0.696634963
2520.036,25920.036,1.591127676,-0.696631833
1440.036,14760.036,1.591412754,-0.696632539
2880.036,29520.036,1.591417744,-0.696627939
3240.036,33120.036,1.591644718,-0.696624888
1800.036,18360.036,1.59182313,-0.696626149
